1	program#struct	reduction
2	compUnit#struct	reduction
3	decl#struct	reduction
4	structDecl#struct	reduction
5	struct#struct	move
6	Ident#MutationBlock	move
7	{#{	move
8	structBody#int	reduction
9	structMember#int	reduction
10	varDecl#int	reduction
11	bType#int	reduction
12	int#int	move
13	varDef#a	reduction
14	Ident#a	move
15	argVarDef#;	reduction
16	argVarDecl#;	reduction
17	;#;	move
18	structBody#int	reduction
19	structMember#int	reduction
20	varDecl#int	reduction
21	bType#int	reduction
22	int#int	move
23	varDef#b	reduction
24	Ident#b	move
25	argVarDef#;	reduction
26	argVarDecl#;	reduction
27	;#;	move
28	structBody#void	reduction
29	structMember#void	reduction
30	funcDef#void	reduction
31	funcType#void	reduction
32	void#void	move
33	Ident#my_func	move
34	(#(	move
35	funcFParams#int	reduction
36	funcFParam#int	reduction
37	bType#int	reduction
38	int#int	move
39	Ident#a	move
40	argFunctionF#,	reduction
41	,#,	move
42	funcFParam#int	reduction
43	bType#int	reduction
44	int#int	move
45	Ident#b	move
46	argFunctionF#,	reduction
47	,#,	move
48	funcFParam#struct	reduction
49	bType#struct	reduction
50	structType#struct	reduction
51	struct#struct	move
52	Ident#MutationBlock	move
53	Ident#ccc	move
54	argFunctionF#)	reduction
55	)#)	move
56	block#{	reduction
57	{#{	move
58	blockItem#return	reduction
59	stmt#return	reduction
60	return#return	move
61	argExp#a	reduction
62	exp#a	reduction
63	assignExp#a	reduction
64	eqExp#a	reduction
65	relExp#a	reduction
66	addExp#a	reduction
67	mulExp#a	reduction
68	unaryExp#a	reduction
69	Ident#a	move
70	callFunc#+	reduction
71	mulExpAtom#+	reduction
72	addExpAtom#+	reduction
73	+#+	move
74	mulExp#b	reduction
75	unaryExp#b	reduction
76	Ident#b	move
77	callFunc#;	reduction
78	mulExpAtom#;	reduction
79	addExpAtom#;	reduction
80	relExpAtom#;	reduction
81	eqExpAtom#;	reduction
82	assignExpAtom#;	reduction
83	;#;	move
84	blockItem#}	reduction
85	}#}	move
86	structBody#}	reduction
87	}#}	move
88	structVarDeclOptional#structa	reduction
89	structVarDecl#structa	reduction
90	Ident#structa	move
91	structVarDeclList#,	reduction
92	,#,	move
93	Ident#structb	move
94	structVarDeclList#;	reduction
95	;#;	move
96	compUnit#int	reduction
97	decl#int	reduction
98	varDecl#int	reduction
99	bType#int	reduction
100	int#int	move
101	varDef#a	reduction
102	Ident#a	move
103	argVarDef#=	reduction
104	=#=	move
105	initVal#3	reduction
106	exp#3	reduction
107	assignExp#3	reduction
108	eqExp#3	reduction
109	relExp#3	reduction
110	addExp#3	reduction
111	mulExp#3	reduction
112	unaryExp#3	reduction
